dv,term,estimate,std.error,statistic,p.value
log_vol_33per,Item_3.03,-8.29E-05,0.000343079,-0.241599723,0.809098139
log_vol_33per,Item_4.01,0.000533718,0.000284331,1.877097294,0.060550578
log_vol_33per,Item_4.02,0.003042614,0.000849338,3.582337846,0.000343084
log_vol_33per,Item_5.01,0.005846693,0.001077348,5.426930674,5.95E-08
log_vol_33per,Item_5.02,0.000932715,6.78E-05,13.748951,2.08E-42
log_vol_33per,Item_5.03,0.001107952,0.000150907,7.34193666,2.37E-13
log_vol_33per,Item_5.04,-0.00019352,0.000782213,-0.247400452,0.804606324
log_vol_33per,Item_5.05,0.002723595,0.000689578,3.949653583,7.91E-05
log_vol_33per,Item_5.06,-0.003270534,0.001777648,-1.839809663,0.065842841
log_vol_33per,Item_5.07,-0.000150739,5.68E-05,-2.654518714,0.007961973
log_vol_33per,Item_5.08,-0.001298205,0.000877953,-1.478672449,0.139277488
log_vol_33per,Item_7.01,0.002218309,0.000127545,17.392392,3.17E-66
log_vol_33per,Item_8.01,0.003014143,0.000118609,25.41251178,9.27E-136
log_vol_33per,Item_9.01,-0.000280407,8.91E-05,-3.145657328,0.001664796
log_vol_66per,Item_1.01,0.006446968,0.000230781,27.93545437,4.52E-162
log_vol_66per,Item_1.02,0.00189994,0.000470294,4.03989542,5.41E-05
log_vol_66per,Item_1.03,0.033800383,0.008745309,3.864972893,0.00011221
log_vol_66per,Item_1.04,0.001133988,0.001426143,0.79514323,0.426559918
log_vol_66per,Item_1.05,-0.001009929,0.003041572,-0.332041721,0.739868718
log_vol_66per,Item_2.01,-0.00059864,0.00039725,-1.506959645,0.131870761
log_vol_66per,Item_2.02,0.00765445,0.000344443,22.22270834,1.99E-105
log_vol_66per,Item_2.03,-0.004743298,0.00027704,-17.1213364,2.81E-64
log_vol_66per,Item_2.04,0.005668575,0.002224592,2.54814099,0.010853224
log_vol_66per,Item_2.05,0.011531208,0.00099683,11.56788378,1.21E-30
log_vol_66per,Item_2.06,-0.001739479,0.001370142,-1.269561211,0.204287513
log_vol_66per,Item_3.01,0.002883111,0.000636285,4.531162326,5.97E-06
log_vol_66per,Item_3.02,0.005873912,0.000536742,10.9436489,1.26E-27
log_vol_66per,Item_3.03,0.000176151,0.000633041,0.278261382,0.780820782
log_vol_66per,Item_4.01,0.000912967,0.000540742,1.688359191,0.091391417
log_vol_66per,Item_4.02,0.004993068,0.001526848,3.270179159,0.001080526
log_vol_66per,Item_5.01,0.01224398,0.001992004,6.146564476,8.40E-10
log_vol_66per,Item_5.02,0.001380827,0.000118719,11.63106358,5.89E-31
log_vol_66per,Item_5.03,0.002154911,0.000276163,7.80304593,7.02E-15
log_vol_66per,Item_5.04,-0.000607483,0.001446136,-0.420073134,0.674446246
log_vol_66per,Item_5.05,0.004613726,0.001235229,3.735116633,0.000189273
log_vol_66per,Item_5.06,-0.006294358,0.003258537,-1.931651336,0.053447012
log_vol_66per,Item_5.07,-0.000174421,0.000103024,-1.6930082,0.090502973
log_vol_66per,Item_5.08,-0.001920687,0.00153301,-1.252886137,0.210293297
log_vol_66per,Item_7.01,0.003491407,0.000216871,16.09900725,3.47E-57
log_vol_66per,Item_8.01,0.004939448,0.00020279,24.35741076,2.36E-125
log_vol_66per,Item_9.01,-0.000457091,0.000154738,-2.953962895,0.00314873
abs_ret_2_per,Item_1.01,0.001626582,8.05E-05,20.1996039,5.46E-88
abs_ret_2_per,Item_1.02,0.0011965,0.000185647,6.445010274,1.24E-10
abs_ret_2_per,Item_1.03,0.006822413,0.003200471,2.131690577,0.033070561
abs_ret_2_per,Item_1.04,0.000908355,0.000805928,1.127092375,0.259746001
abs_ret_2_per,Item_1.05,0.004209059,0.003123832,1.347402602,0.177898662
abs_ret_2_per,Item_2.01,-8.39E-05,0.000156913,-0.534606546,0.592940668
abs_ret_2_per,Item_2.02,0.003911406,0.000153487,25.48354592,1.78E-136
abs_ret_2_per,Item_2.03,-0.000940705,9.62E-05,-9.782998116,1.92E-22
abs_ret_2_per,Item_2.04,0.001040805,0.000723548,1.438475075,0.150348572
abs_ret_2_per,Item_2.05,0.004726328,0.000393272,12.01797332,6.49E-33
abs_ret_2_per,Item_2.06,0.00053252,0.000591482,0.900315204,0.367986664
abs_ret_2_per,Item_3.01,0.002097735,0.00027678,7.579068373,3.98E-14
abs_ret_2_per,Item_3.02,0.000988578,0.000163441,6.048513575,1.55E-09
abs_ret_2_per,Item_3.03,-0.000544912,0.000221418,-2.461006818,0.013881177
abs_ret_2_per,Item_4.01,0.000470838,0.000238297,1.975843407,0.048215723
abs_ret_2_per,Item_4.02,0.003405191,0.000675125,5.04379551,4.69E-07
abs_ret_2_per,Item_5.01,0.000687091,0.000552926,1.242646624,0.214043951
abs_ret_2_per,Item_5.02,0.000739881,4.95E-05,14.94250463,1.21E-49
abs_ret_2_per,Item_5.03,0.000781923,0.000104146,7.507947957,6.83E-14
abs_ret_2_per,Item_5.04,0.001605701,0.000738329,2.174775996,0.029683681
abs_ret_2_per,Item_5.05,-6.95E-05,0.000405406,-0.171385211,0.863926342
abs_ret_2_per,Item_5.06,0.002089066,0.001054615,1.980880762,0.04764771
abs_ret_2_per,Item_5.07,2.56E-05,4.93E-05,0.518370347,0.604217955
abs_ret_2_per,Item_5.08,-0.000954416,0.000568766,-1.678047074,0.093387103
abs_ret_2_per,Item_7.01,0.001386586,8.48E-05,16.34681019,7.20E-59
abs_ret_2_per,Item_8.01,0.00135666,7.07E-05,19.19568441,7.10E-80
abs_ret_2_per,Item_9.01,-0.00038109,5.77E-05,-6.606218802,4.26E-11
abs_ret_4_per,Item_1.01,0.001960145,9.95E-05,19.69203078,7.68E-84
abs_ret_4_per,Item_1.02,0.001207647,0.000227749,5.302529876,1.18E-07
abs_ret_4_per,Item_1.03,0.00809579,0.003221904,2.512734825,0.012004504
abs_ret_4_per,Item_1.04,0.000583063,0.000684147,0.852247594,0.394108817
abs_ret_4_per,Item_1.05,0.005564638,0.003417059,1.628487773,0.103471091
abs_ret_4_per,Item_2.01,-0.000440838,0.000197061,-2.23706881,0.025316397
abs_ret_4_per,Item_2.02,0.005370325,0.000198301,27.08166526,5.97E-153
abs_ret_4_per,Item_2.03,-0.001052991,0.000123116,-8.552816939,1.49E-17
abs_ret_4_per,Item_2.04,0.000813145,0.000880948,0.92303382,0.35602464
abs_ret_4_per,Item_2.05,0.006313103,0.000489276,12.90295151,1.28E-37
abs_ret_4_per,Item_2.06,1.29E-05,0.000749674,0.017144291,0.986322044
abs_ret_4_per,Item_3.01,0.002398928,0.000352839,6.798932611,1.15E-11
abs_ret_4_per,Item_3.02,0.00138053,0.000207034,6.668135652,2.81E-11
abs_ret_4_per,Item_3.03,-0.000213353,0.000280284,-0.761203558,0.446563751
abs_ret_4_per,Item_4.01,0.000466143,0.000297419,1.56729513,0.117095535
abs_ret_4_per,Item_4.02,0.005213869,0.00082304,6.33489417,2.54E-10
abs_ret_4_per,Item_5.01,0.000886185,0.000707432,1.252678496,0.21036885
abs_ret_4_per,Item_5.02,0.000936677,6.25E-05,14.99631661,5.52E-50
abs_ret_4_per,Item_5.03,0.000847368,0.000129776,6.529468347,7.11E-11
